Primary_Organization,Participant_Name,Subordinate_Organization,Type,Sub_Type,Participant_ID,Request_for_Information,Information_Delivery,Requests_for_Notification_of_ADT_Events,City,County_Name,Geo_Point
USC Health System,USC Health System,Keck Hospital of USC Clinical Lab,Ancillary Care,Clinical laboratory,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.05105, -118.21163"
USC Health System,USC Health System,USC Immunohistochemistry Laboratory,Ancillary Care,Clinical laboratory,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.05105, -118.21163"
USC Health System,USC Health System,Keck Hospital of Newport Beach Healthcare Center,Ancillary Care,Clinical laboratory,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Newport Beach,Orange,"33.62365, -117.93046"
USC Health System,USC Health System,"USC Care Medical Group, Inc. Clinical Lab 2",Ancillary Care,Clinical laboratory,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.05105, -118.21163"
USC Health System,USC Health System,Keck Hospital of USC Blood Gas Laboratory,Ancillary Care,Clinical laboratory,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.05105, -118.21163"
USC Health System,USC Health System,USC Breast Cancer Analysis Laboratory,Ancillary Care,Clinical laboratory,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.05105, -118.21163"
USC Health System,USC Health System,USC Clinical Laboratory Pasadena,Ancillary Care,Clinical laboratory,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Pasadena,Los Angeles,"34.13821, -118.16677"
USC Health System,USC Health System,Keck Hospital of USC Huntington Beach Laboratory,Ancillary Care,Clinical laboratory,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Huntington Beach,Orange,"33.68244, -118.01244"
USC Health System,USC Health System,USC Kenneth Norris Jr Cancer Hospital,Acute Care Settings,General acute care hospital,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.05105, -118.21163"
USC Health System,USC Health System,"USC Care Medical Group, Inc. Clinical Lab 1",Ancillary Care,Clinical laboratory,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.05105, -118.21163"
USC Health System,USC Health System,Keck Hospital of USC,Acute Care Settings,General acute care hospital,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.05105, -118.21163"
USC Health System,USC Health System,USC Kenneth Norris Jr. Cancer Hospital Clinical Lab,Ancillary Care,Clinical laboratory,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.05105, -118.21163"
USC Health System,USC Health System,"USC Care Medical Group, Inc.",Ambulatory Care Settings,Medical group,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.13867, -118.1282"
USC Health System,USC Health System,USC Arcadia Hospital,Acute Care Settings,General acute care hospital,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Arcadia,Los Angeles,"34.1286, -118.04825"
USC Health System,USC Health System,Keck Hospital of Newport Beach Clinic,Ancillary Care,Clinical laboratory,DXF005209,NONE SELECTED,NONE SELECTED,NONE SELECTED,Newport Beach,Orange,"33.62365, -117.93046"
UC Davis Health,UC Davis Health,none identified,Acute Care Settings,General acute care hospital,DXF005239,Carequality,Carequality,SELF,Sacramento,Sacramento,"38.55059, -121.45643"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redding,Shasta,"40.59648, -122.46004"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Highland,San Bernardino,"34.12429, -117.18004"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Berkeley,Alameda,"37.86522, -122.23818"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lynwood,Los Angeles,"33.92365, -118.20053"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redlands,San Bernardino,"34.00495, -117.15067"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.64203, -121.52027"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.64203, -121.52027"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Orange,Orange,"33.78813, -117.87629"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Stockton,San Joaquin,"38.00246, -121.32502"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.19414, -119.17444"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Arcadia,Los Angeles,"34.1286, -118.04825"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Merced,Merced,"37.23086, -120.51436"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fresno,Fresno,"36.86031, -119.76157"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Van Nuys,Los Angeles,"34.20109, -118.44816"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Jose,Santa Clara,"37.3871, -121.89744"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.90847, -117.1414"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.88162, -117.44479"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005243,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.64203, -121.52027"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lynwood,Los Angeles,"33.92365, -118.20053"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Highland,San Bernardino,"34.12429, -117.18004"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Orange,Orange,"33.78813, -117.87629"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redding,Shasta,"40.59648, -122.46004"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.64203, -121.52027"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Berkeley,Alameda,"37.86522, -122.23818"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redlands,San Bernardino,"34.00495, -117.15067"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Stockton,San Joaquin,"38.00246, -121.32502"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Van Nuys,Los Angeles,"34.20109, -118.44816"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fresno,Fresno,"36.86031, -119.76157"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.19414, -119.17444"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.88162, -117.44479"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.90847, -117.1414"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Jose,Santa Clara,"37.3871, -121.89744"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Arcadia,Los Angeles,"34.1286, -118.04825"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005244,NONE SELECTED,NONE SELECTED,NONE SELECTED,Merced,Merced,"37.23086, -120.51436"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.64203, -121.52027"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Jose,Santa Clara,"37.3871, -121.89744"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Berkeley,Alameda,"37.86522, -122.23818"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redding,Shasta,"40.59648, -122.46004"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Stockton,San Joaquin,"38.00246, -121.32502"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Highland,San Bernardino,"34.12429, -117.18004"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redlands,San Bernardino,"34.00495, -117.15067"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.64203, -121.52027"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Orange,Orange,"33.78813, -117.87629"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lynwood,Los Angeles,"33.92365, -118.20053"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Merced,Merced,"37.23086, -120.51436"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.88162, -117.44479"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.90847, -117.1414"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Arcadia,Los Angeles,"34.1286, -118.04825"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fresno,Fresno,"36.86031, -119.76157"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.19414, -119.17444"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005245,NONE SELECTED,NONE SELECTED,NONE SELECTED,Van Nuys,Los Angeles,"34.20109, -118.44816"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.64203, -121.52027"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Stockton,San Joaquin,"38.00246, -121.32502"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Highland,San Bernardino,"34.12429, -117.18004"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Orange,Orange,"33.78813, -117.87629"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.64203, -121.52027"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redlands,San Bernardino,"34.00495, -117.15067"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Berkeley,Alameda,"37.86522, -122.23818"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redding,Shasta,"40.59648, -122.46004"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lynwood,Los Angeles,"33.92365, -118.20053"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.90847, -117.1414"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Van Nuys,Los Angeles,"34.20109, -118.44816"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Merced,Merced,"37.23086, -120.51436"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.19414, -119.17444"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fresno,Fresno,"36.86031, -119.76157"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.88162, -117.44479"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,Arcadia,Los Angeles,"34.1286, -118.04825"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005246,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Jose,Santa Clara,"37.3871, -121.89744"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lynwood,Los Angeles,"33.92365, -118.20053"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Orange,Orange,"33.78813, -117.87629"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Highland,San Bernardino,"34.12429, -117.18004"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Berkeley,Alameda,"37.86522, -122.23818"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Stockton,San Joaquin,"38.00246, -121.32502"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redding,Shasta,"40.59648, -122.46004"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.64203, -121.52027"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.64203, -121.52027"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redlands,San Bernardino,"34.00495, -117.15067"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Jose,Santa Clara,"37.3871, -121.89744"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.19414, -119.17444"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Merced,Merced,"37.23086, -120.51436"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fresno,Fresno,"36.86031, -119.76157"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.88162, -117.44479"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.90847, -117.1414"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Arcadia,Los Angeles,"34.1286, -118.04825"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005247,NONE SELECTED,NONE SELECTED,NONE SELECTED,Van Nuys,Los Angeles,"34.20109, -118.44816"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005248,NONE SELECTED,NONE SELECTED,NONE SELECTED,Highland,San Bernardino,"34.12429, -117.18004"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005248,NONE SELECTED,NONE SELECTED,NONE SELECTED,Orange,Orange,"33.78813, -117.87629"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005248,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.64203, -121.52027"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005248,NONE SELECTED,NONE SELECTED,NONE SELECTED,Stockton,San Joaquin,"38.00246, -121.32502"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005248,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lynwood,Los Angeles,"33.92365, -118.20053"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005248,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005248,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redlands,San Bernardino,"34.00495, -117.15067"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005248,NONE SELECTED,NONE SELECTED,NONE SELECTED,Berkeley,Alameda,"37.86522, -122.23818"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005248,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.64203, -121.52027"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005248,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redding,Shasta,"40.59648, -122.46004"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005248,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
Quest Diagnostics,Quest Diagnostics,Quest Diagnostics,Ancillary Care,Clinical laboratory,DXF005248,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.22465, -118.63249"
