Primary_Organization,Subordinate_Organization,Type,Sub_Type,City,County,ZIP
SF Oncology,none identified,Ambulatory Care Settings,Physician practice,SanFrancisco,#N/A,94115
Shafter Nursing Care,none identified,Subacute Care Facility,Skilled nursing facility,Bakersfield,#N/A,93263
"Shahin S. Rad, MD, PC",none identified,Ambulatory Care Settings,Physician practice,Encino,#N/A,91436
Shannon Easton-Carr MD Inc,none identified,Ambulatory Care Settings,Mental health clinic,San Luis Obispo,#N/A,93401
Sharaf MD,none identified,Ambulatory Care Settings,Physician practice,Fountain Valley,#N/A,92708
Share Our Selves,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Newport Beach,#N/A,92660
"SHARON LAUGHLIN, M.D.",none identified,not selected,not selected,Riverside,#N/A,92503
Sharp,none identified,Acute Care Settings,General acute care hospital,San Diego,#N/A,92102
Sharp Community Medical Group,none identified,Ambulatory Care Settings,Independent practice associations,San Diego,#N/A,92127
SharpCare Medical Group,none identified,Ambulatory Care Settings,Medical group,San Diego,#N/A,92123
Shasta Community Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Redding,#N/A,96001
Shasta Regional Medical Center,Shasta Regional Medical Group,Ambulatory Care Settings,Medical group,Redding,#N/A,96001
"Shawn Barnes, M.D.",none identified,not selected,not selected,Carlsbad,#N/A,92009
"Shawna L Weisler, MD. A Medical corporation",none identified,Emergency Medical Service Providers,not selected,Sherman Oaks,#N/A,91423
Sheila N Borges,none identified,Ambulatory Care Settings,not selected,Modesto,#N/A,95355
"sherif khattab, m.d. Inc",none identified,Ambulatory Care Settings,Physician practice,Torrance,#N/A,90505
sherly med inc,none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92109
Sherman Oaks Family Medicine,none identified,Ambulatory Care Settings,Physician practice,Sherman Oaks,#N/A,91406
"Sherman Oaks Family Medicine, Inc.",none identified,Ambulatory Care Settings,Physician practice,Sherman Oaks,#N/A,91403
Shiloh Medical Center,none identified,Ambulatory Care Settings,Physician practice,victorville,#N/A,92395
Shima Hadidchi MD A Professional Corp,none identified,Acute Care Settings,Other acute care setting,victorville,#N/A,92395
Shingletown Medical Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Shingletown,#N/A,96088
"shiu kwok, MD","shiu kwok,MD",Ambulatory Care Settings,Physician practice,San Francisco,#N/A,94133
Shriners Children's Northern California,none identified,Acute Care Settings,General acute care hospital,Sacramento,#N/A,95817
"Sierra Hematology & Oncology Medical Center, a Professional Corporation",none identified,Ambulatory Care Settings,Physician practice,Carmichael,#N/A,95608
Sierra Imaging Associates Medical Group,none identified,Ambulatory Care Settings,Medical group,Clovis,#N/A,93611
Sierra Rheumatology Inc.,none identified,Ambulatory Care Settings,Physician practice,Rocklin,#N/A,95765
Sierra Spine Institute,none identified,Ambulatory Care Settings,Physician practice,Roseville,#N/A,95661
Sierra View Homes,none identified,Subacute Care Facility,Skilled nursing facility,Reedley,#N/A,93654
Sierra View Medical Center,none identified,Acute Care Settings,General acute care hospital,Porterville,#N/A,93257
Sierra Vista Child and Family Services,none identified,Community-Based Organizations,Other community-based service provider,Modesto,#N/A,95354
Silkiss Eye Surgery,none identified,Ambulatory Care Settings,Physician practice,Oakland,#N/A,94609
Simi Medical Group,none identified,Ambulatory Care Settings,Physician practice,SIMI VALLEY,#N/A,93065
Simi Obstetrics & Gynecology Medical Group,none identified,Ambulatory Care Settings,not selected,SIMI VALLEY,#N/A,93065
"SIMI VALLEY CONGREGATE LIVING, INC",none identified,Subacute Care Facility,Other long term care facility,SIMI VALLEY,#N/A,93065
"Siskiyou Hospital, Inc. dba Fairchild Medical Center",none identified,Acute Care Settings,General acute care hospital,Yreka,#N/A,96097
Sistemas Medicos Nacionales SA de CV,none identified,Plans,Health care service plans and disability insurer,Chula Vista,#N/A,91913
Slavic American Chamber of Commerce,none identified,Community-Based Organizations,Other community-based service provider,Sacramento,#N/A,95816
Smita Tandon MD DR2KIDS,none identified,Ambulatory Care Settings,Physician practice,Fountain Valley,#N/A,92708
SMR Healthcare Management,none identified,Community-Based Organizations,Other community-based service provider,Chino Hills,#N/A,91709
SOCAL COMMUNITY HEALTH CENTER,none identified,Community-Based Organizations,Other community-based service provider,arleta,#N/A,91331
"Social Collaborative, LLC",none identified,Community-Based Organizations,Other community-based service provider,Long Beach,#N/A,90814
Socially Oriented United Living Inc.,none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,90036
Solheim Senior Community,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Los Angeles,#N/A,90041
solo practice,none identified,not selected,not selected,Walnut Creek,#N/A,94597
Solvang Lutheran Home Inc,none identified,Subacute Care Facility,Skilled nursing facility,Solvang,#N/A,93463
Sonoma County Department of Health Services,none identified,not selected,not selected,Santa Rosa,#N/A,95405
"Sonoma County Indian Health Project, Inc.",none identified,Ambulatory Care Settings,Other ambulatory care settings,Santa Rosa,#N/A,95401
Sonoma Valley Community Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Sonoma,#N/A,95476
Sonoma Valley Hospital,none identified,Acute Care Settings,General acute care hospital,Sonoma,#N/A,95476
"SONYA S PATEL DO, INC",none identified,Ambulatory Care Settings,Physician practice,Los Gatos,#N/A,95032
Sotara Manalo Rico Prof Med Corp,none identified,Ambulatory Care Settings,not selected,Chino,#N/A,91710
"Soteria Home Health Agency, Inc.",none identified,Community-Based Organizations,Other community-based service provider,Inglewood,#N/A,90302
Sothern California GI & Centers,none identified,Ambulatory Care Settings,Medical group,Coronado,#N/A,92178-1770
Sourcewise,none identified,Community-Based Organizations,Other community-based service provider,Santa Clara,#N/A,95054
"South Bay Family Medical Group, INC",Bahia Family Medical Group,Ambulatory Care Settings,Physician practice,Chula Vista,#N/A,91910
South Central Family Health Center,none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,90011
"South Coast Children's Society, Inc",none identified,Community-Based Organizations,Other community-based service provider,MISSION VIEJO,#N/A,92691
South Coast Family medicine,none identified,Ambulatory Care Settings,Physician practice,Santa Ana,#N/A,92704
South Coast Global Medical Center,South Coast Global Medical Center Subacute Unit,Acute Care Settings,Other acute care setting,Santa Ana,#N/A,92704
South Coast Global Medical Center,South Coast Global Medical Center Lab,Acute Care Settings,General acute care hospital,Santa Ana,#N/A,92704
South Coast Post Acute,none identified,Subacute Care Facility,Skilled nursing facility,Santa Ana,#N/A,92707
South Placer Fire Protection District,none identified,Emergency Medical Service Providers,not selected,Granite Bay,#N/A,95746
South San Joaquin County Fire Authority,none identified,Emergency Medical Service Providers,not selected,Tracy,#N/A,95376
SouthBay Geriatric Internal Medicine,none identified,Ambulatory Care Settings,Independent practice associations,San Diego,#N/A,92191
Southern California GI & Liver Centers,none identified,Ambulatory Care Settings,Medical group,Coronado,#N/A,92178-1770
Southern California GI & Liver Centers,none identified,Ambulatory Care Settings,Medical group,Coronado,#N/A,92178-1770
Southern California Health and Rehabilitation Program,none identified,Community-Based Organizations,Other community-based service provider,Lynwood,#N/A,90262
"SOUTHERN CALIFORNIA HEALTH PROVIDERS MEDICAL GROUP, INC",none identified,Ambulatory Care Settings,Physician practice,Chula Vista,#N/A,91910
"Southern California Healthcare System, Inc.",Southern California Hospital at Hollywood,Acute Care Settings,General acute care hospital,Hollywood,#N/A,90028
"Southern California Healthcare System, Inc.",Southern California Hospital at Culver City,Acute Care Settings,General acute care hospital,Culver City,#N/A,90232
"Southern California Healthcare System, Inc.",Southern California Hospital at Van Nuys,Acute Care Settings,General acute care hospital,Van Nuys,#N/A,91401
Southern California Hospitalist Network,none identified,Acute Care Settings,General acute care hospital,Anaheim,#N/A,92812
Southern California Liver Centers,none identified,Ambulatory Care Settings,Medical group,Coronado,#N/A,92178-1770
"Southern California Liver Centers, Inc.",none identified,Community-Based Organizations,Other community-based service provider,Coronado,#N/A,92178-1770
Southern California Medical Center,none identified,Community-Based Organizations,Other community-based service provider,Van Nuys,#N/A,91411
Southern California Permanente Medical Group,none identified,Ambulatory Care Settings,Medical group,Pasadena,#N/A,91188
Southern California Primary Medical Inc,none identified,Ambulatory Care Settings,Physician practice,Rancho Cucamonga,#N/A,91730
Southern Heart Clinic,none identified,Plans,Other plan,Fountain Valley,#N/A,92708
Southern Humboldt Community Healthcare District,Garberville Pharmacy,Pharmacy,not selected,Garberville,#N/A,95542
Southern Humboldt Community Healthcare District,Jerold Phelps Community Hospital,Emergency Medical Service Providers,not selected,Garberville,#N/A,95542
Southern Humboldt Community Healthcare District,Jerold Phelps Community Hospital-Acute Care,Acute Care Settings,Other acute care setting,Garberville,#N/A,95542
Southern Humboldt Community Healthcare District,none identified,Acute Care Settings,General acute care hospital,Garberville,#N/A,95542
Southern Mono Healthcare District dba Mammoth Hospital,none identified,Acute Care Settings,General acute care hospital,Mammoth Lakes,#N/A,93546
Southern Monterey County Memorial Hospital,none identified,Acute Care Settings,General acute care hospital,King City,#N/A,93930
"Southland Medicare Advantage Medical Group, Inc. dba Southland Advantage Medical Group, Inc.",none identified,Ambulatory Care Settings,Medical group,Cypress,#N/A,90630-0063
SPASOJE M NESKOVIC MD,none identified,Ambulatory Care Settings,Physician practice,Burbank,#N/A,91501
"Special Service for Groups, Inc. (SSG)",none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,90021
SPECTRA LABORATORIES INC,none identified,Ancillary Care,Clinical laboratory,SOUTHAVEN,#N/A,38671
"Spectrum Community Services, Inc.",none identified,Community-Based Organizations,Other community-based service provider,Hayward,#N/A,94545
Spine and Sports Surgery Center,none identified,Ambulatory Care Settings,Other ambulatory care settings,Campbell,#N/A,95008
Spring Hill Manor Convalescent Hospital,none identified,Subacute Care Facility,Skilled nursing facility,Grass Valley,#N/A,95945
Spring Valley Post Acute,none identified,Ancillary Care,Other ancillary care provider,victorville,#N/A,92395
"Sprinter Medical West, P.C.",none identified,Ancillary Care,Other ancillary care provider,Menlo PArk,#N/A,94025
Sprite Health,none identified,Intermediaries,Other intermediary,SOUTHLAKE,#N/A,76092
Spruce MultiSpecialty Group,none identified,not selected,not selected,Fresno,#N/A,93720
Srividya Venkataraman MD Inc,none identified,Ambulatory Care Settings,Physician practice,Long Beach,#N/A,90808
"St John Surgery Center, Inc.",none identified,Ambulatory Care Settings,Other ambulatory care settings,Colton,#N/A,92324
St Rose Hospital,none identified,Acute Care Settings,General acute care hospital,Hayward,#N/A,94545
St. Anne's Home - Home for the Aged of the Little Sisters of the Poor,none identified,Subacute Care Facility,Skilled nursing facility,San Francisco,#N/A,94118
St. John of God Retirement and Care Center,none identified,Subacute Care Facility,Skilled nursing facility,Los Angeles,#N/A,90018
St. John's Community Health,none identified,Community-Based Organizations,Continuum of Care organization (CoC),Los Angeles,#N/A,90037
ST. MARY'S CENTER,none identified,Community-Based Organizations,Other community-based service provider,Oakland,#N/A,94623
"St. Paul's Episcopal Home, Inc.",Community Eldercare of San Diego,Community-Based Organizations,Other community-based service provider,San Diego,#N/A,92103
St. Vincent Preventative Family Care,none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,90017
Stallant Health and Wellness,none identified,Ambulatory Care Settings,Rural health center (RHC),crescent city,#N/A,95531
Stanford Healthcare Care,SHC Tri-Valley Hospital,Acute Care Settings,General acute care hospital,Pleasanton,#N/A,94588
Stanford Healthcare Care,Stanford Medicine Partners,Ambulatory Care Settings,Other ambulatory care settings,Newark,#N/A,94560
Stanislaus Surgical Hospital,none identified,Acute Care Settings,General acute care hospital,Modesto,#N/A,95355
STAR of CA LLC,none identified,Counties,Behavioral health provider,ventura,#N/A,93003
Starlife Holdings Inc,none identified,Plans,Other plan,Long Beach,#N/A,90806
Starnursing,none identified,Community-Based Organizations,Other community-based service provider,FOLSOM,#N/A,95630
"Stars Behavioral Health Group, Inc.","Star View Behavioral Health, Inc.",Community-Based Organizations,Continuum of Care organization (CoC),Long Beach,#N/A,90810
"Stars Behavioral Health Group, Inc.","Oasis Behavioral Health, Inc.",Community-Based Organizations,Continuum of Care organization (CoC),Long Beach,#N/A,90810
"Stars Behavioral Health Group, Inc.","Valley Star Behavioral Health, Inc.",Community-Based Organizations,Continuum of Care organization (CoC),Long Beach,#N/A,90810
"Stars Behavioral Health Group, Inc.","Subacute Treatment for Adolescent Rehabilitation Services, Inc. aka S.T.A.R.S., Inc.",Community-Based Organizations,Continuum of Care organization (CoC),Long Beach,#N/A,90810
"Stars Behavioral Health Group, Inc.","Central Star Behavioral Health, Inc.",Community-Based Organizations,Continuum of Care organization (CoC),Long Beach,#N/A,90810
"Stars Behavioral Health Group, Inc.","Starlight Community Services, Inc.",Community-Based Organizations,Continuum of Care organization (CoC),Long Beach,#N/A,90810
Step Up On Second Inc,none identified,Community-Based Organizations,Other community-based service provider,Santa Monica,#N/A,90401
Stephen A Hilty,none identified,not selected,not selected,San Luis Obispo,#N/A,93405
Stephen M Greenberg MD Inc,none identified,Ancillary Care,Imaging/radiology center,Santa Monica,#N/A,90405
"Stephen P. Datu, MD",none identified,Ambulatory Care Settings,Physician practice,Red Bluff,#N/A,96080
Sterling Hospitalist Medical Group,none identified,Community-Based Organizations,Other community-based service provider,Garden Grove,#N/A,92845
"Sterling Hospitalist Medical Group, Inc.",none identified,Community-Based Organizations,Other community-based service provider,Garden Grove,#N/A,92845
Steven D. Chang MD Inc.,none identified,Community-Based Organizations,Other community-based service provider,ventura,#N/A,93003
Steven D. Emmet MD Inc,none identified,Acute Care Settings,Other acute care setting,Encinitas,#N/A,92024
"Steven D. Zelko M.D., Inc.",none identified,Ambulatory Care Settings,Physician practice,Santa Barbara,#N/A,93109
Stewart Medical Group,none identified,Ambulatory Care Settings,Medical group,Alhambra,#N/A,91801
Stockdale Podiatry Group Inc,none identified,Ambulatory Care Settings,Medical group,Bakersfield,#N/A,93309-2605
Stockton Nephrology,none identified,Ambulatory Care Settings,Physician practice,Stockton,#N/A,95204
Stockton Urgent Care,none identified,Acute Care Settings,Other acute care setting,Stockton,#N/A,95209
"STR, LP All Care- Amalfi",none identified,Subacute Care Facility,Skilled nursing facility,Woodland Hills,#N/A,91367
"Strive Health, LLC","KCE of Southern California, LLC",Intermediaries,Other intermediary,Colorado,#N/A,80202
Stuart R Winthrop MD INC,none identified,Ambulatory Care Settings,Physician practice,Santa Barbara,#N/A,93103
"Sudhir Malik, APMC",none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92103
Sukhdev K Uppal Md Inc,none identified,Ambulatory Care Settings,Physician practice,Corona,#N/A,92879
Summerfield Healthcare Center,none identified,Subacute Care Facility,Skilled nursing facility,Santa Rosa,#N/A,95405
Summit Health Group,none identified,Ambulatory Care Settings,Physician practice,Thousand Oaks,#N/A,91361
"Sun City Cardiology Medical Center, Inc.",none identified,Emergency Medical Service Providers,not selected,Menifee,#N/A,92586
"Sun Haven Care, Inc, dba Terrace View Care Center",Beacon Healthcare Center,Subacute Care Facility,Skilled nursing facility,West Covina,#N/A,91790
"Sun Health Medical Clinic, Inc.",none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92101
Sun Mar Healthcare,Gordon Lane Care Center,Ancillary Care,Other ancillary care provider,Fullerton,#N/A,92831
Sun Mar Healthcare,Anaheim Healthcare Center,Ancillary Care,Other ancillary care provider,Anaheim,#N/A,92804
Sun Mar Healthcare,Park Regency Care Center,Ancillary Care,Other ancillary care provider,La habra,#N/A,90631
Sun Mar Healthcare,French Park Care Center,Ancillary Care,Other ancillary care provider,Santa Ana,#N/A,92701
Sun Mar Healthcare,Sun Mar Nursing Center,Ancillary Care,Other ancillary care provider,Anaheim,#N/A,92804
Sun Mar Healthcare,Garden Park Care Center,Ancillary Care,Other ancillary care provider,Garden Grove,#N/A,92840
Sun Mar Healthcare,Lake Forest Nursing,Ancillary Care,Other ancillary care provider,Lake Forest,#N/A,92630
Sun Mar Healthcare,Alcott Rehabilitation Hospital,Ancillary Care,Other ancillary care provider,Los Angeles,#N/A,90019
Sun Mar Healthcare,Bonita Hills Post Acute,Ancillary Care,Other ancillary care provider,La habra,#N/A,90631
Sun Mar Healthcare,Citrus Nursing,Ancillary Care,Other ancillary care provider,FONTANA,#N/A,92335
Sun Mar Healthcare,Cottage Crest Post Acute,Ancillary Care,Other ancillary care provider,Norwald,#N/A,90650
Sun Mar Healthcare,College Vista Post Acute,Ancillary Care,Other ancillary care provider,Los Angeles,#N/A,90041
Sun Mar Healthcare,"Country Oaks Partners, LLC",Ancillary Care,Other ancillary care provider,Pomona,#N/A,91768
Sun Mar Healthcare,Community Care and Rehabilitation,Ancillary Care,Other ancillary care provider,Riverside,#N/A,92506
Sun Mar Healthcare,Courtyard Post Acute,Ancillary Care,Other ancillary care provider,San Jose,#N/A,95117
Sun Mar Healthcare,Diamond Ridge Post Acute,Ancillary Care,Other ancillary care provider,Pittsburg,#N/A,94565
Sun Mar Healthcare,Del Mar Convalescent,Ancillary Care,Other ancillary care provider,Rosemead,#N/A,91770
Sun Mar Healthcare,Excell Post Acute,Ancillary Care,Other ancillary care provider,Alameda,#N/A,94619
Sun Mar Healthcare,Extended Care Hospital of Riverside,Ancillary Care,Other ancillary care provider,Riverside,#N/A,92504
Sun Mar Healthcare,The Grove Post Acute,Ancillary Care,Other ancillary care provider,Garden Grove,#N/A,92840
Sun Mar Healthcare,Heritage Manor,Ancillary Care,Other ancillary care provider,Monterey Park,#N/A,91754
Sun Mar Healthcare,Menifee Lakes Post Acute,Ancillary Care,Other ancillary care provider,Menifee,#N/A,92586
Sun Mar Healthcare,Mission Care Center,Ancillary Care,Other ancillary care provider,Riverside,#N/A,92504
Sun Mar Healthcare,Mission Carmichael Healthcare Center,Ancillary Care,Other ancillary care provider,Carmichael,#N/A,95608
Sun Mar Healthcare,Monterey Park Convalescent,Ancillary Care,Other ancillary care provider,Monterey Park,#N/A,91754
Sun Mar Healthcare,Mountain view post acute,Ancillary Care,Other ancillary care provider,Barstow,#N/A,92311
Sun Mar Healthcare,North Valley Nursing,Ancillary Care,Other ancillary care provider,Tujunga,#N/A,91042
Sun Mar Healthcare,Oceanview Post Acute,Ancillary Care,Other ancillary care provider,Escondido,#N/A,92025
Sun Mar Healthcare,Pacific Post Acute,Ancillary Care,Other ancillary care provider,Santa Monica,#N/A,90404
Sun Mar Healthcare,Paramount Convalescent,Ancillary Care,Other ancillary care provider,Paramount,#N/A,90723
Sun Mar Healthcare,Pelican Ridge Post Acute,Ancillary Care,Ambulatory surgery center,Newport Beach,#N/A,92663
Sun Mar Healthcare,POMONA VISTA CARE CENTER,Ancillary Care,Ambulatory surgery center,Pomona,#N/A,91768
Sun Mar Healthcare,"Sierra View Care Holdings, LLC",Ancillary Care,Other ancillary care provider,Baldwin Park,#N/A,91706
Sun Mar Healthcare,SUNNY HILLS POST ACUTE,Ancillary Care,Other ancillary care provider,LA MIRADA,#N/A,90638
Sun Mar Healthcare,SUNSET MANOR,Ancillary Care,Other ancillary care provider,El Monte,#N/A,91733
Sun Mar Healthcare,TARZANA HEALTH AND REHABILITATION,Ancillary Care,Other ancillary care provider,Los Angeles,#N/A,91356
Sun Mar Healthcare,TRABUCO HILLS POST ACUTE,Ancillary Care,Other ancillary care provider,Lake Forest,#N/A,92630
Sun Mar Healthcare,VICTORIA CARE CENTER,Ancillary Care,Other ancillary care provider,Pomona,#N/A,91768
Sun Mar Healthcare,VILLA RANCHO BERNARDO CARE CENTER,Ancillary Care,Other ancillary care provider,San Diego,#N/A,92127
Sun Mar Healthcare,VINELAND POST ACUTE,Ancillary Care,Other ancillary care provider,North Hollywood,#N/A,91606
Sun Mar Healthcare,VILLA DEL SOL POST ACUTE,Ancillary Care,Other ancillary care provider,Bellflower,#N/A,90706
Sun Mar Healthcare,VISTA VIEW POST ACUTE,Ancillary Care,Other ancillary care provider,vista,#N/A,92083
Sun Mar Nursing Center,none identified,Intermediaries,Other intermediary,Anaheim,#N/A,92503
Sunbridge Brittany Rehab Center Inc,none identified,Acute Care Settings,Other acute care setting,Carmichael,#N/A,95608
"Sunland SNF, LLC",none identified,Subacute Care Facility,Skilled nursing facility,Sunland,#N/A,91040
Sunmed Health and Weight Management A Professional Medical Corporation,none identified,Ambulatory Care Settings,Physician practice,Visalia,#N/A,93290-6577
SunnyDay Adult Day Health Care,none identified,Community-Based Organizations,Other community-based service provider,El Monte,#N/A,91731
Sunnyside Rehab of Fresno,none identified,Subacute Care Facility,Skilled nursing facility,Fresno,#N/A,93725
Sunrise Medical Group,none identified,Acute Care Settings,Other acute care setting,EL CENTRO,#N/A,92243
Sunrise Multispecialist Medical Center,none identified,Ambulatory Care Settings,Other ambulatory care settings,Anaheim,#N/A,92807
Sunset ENT,none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92117
Sunshine pediatri,none identified,Ambulatory Care Settings,Physician practice,Pomona,#N/A,91765
"Superior Medical Group, A Professional Corporation",none identified,Ambulatory Care Settings,not selected,Fullerton,#N/A,92835
Surekha S. Vetsa MD A Medical Corporation,Sai Health-Care Foundation and Research Center Inc,Intermediaries,Other intermediary,Sunnyvale,#N/A,94087
"SURESH K SACHDEVA, MD PROFESSIONAL CORPORATION",none identified,Ambulatory Care Settings,Physician practice,San Ramon,#N/A,94583
"suresh r. nayak, md., inc",none identified,Ambulatory Care Settings,Physician practice,San Jose,#N/A,95116
Surprise Valley Health Care District,none identified,Acute Care Settings,General acute care hospital,Cedarville,#N/A,96104
"Susan E Sprau, MD, PC",none identified,Ambulatory Care Settings,Physician practice,Northridge,#N/A,91328-0655
Susan Eile MD,none identified,Ambulatory Care Settings,not selected,San Leandro,#N/A,94578
SUSANA SANTIAGO-SORIANO MD INC,none identified,Ambulatory Care Settings,Physician practice,Los Angeles,#N/A,90004
sutter,none identified,Ambulatory Care Settings,Physician practice,Burlingame,#N/A,94010
Sutter Health,Alta Bates Summit Medical Center Berkeley,Acute Care Settings,General acute care hospital,Berkeley,#N/A,94705
Sutter Health,Alta Bates Summit Medical Center Oakland,Acute Care Settings,General acute care hospital,Oakland,#N/A,94609
Sutter Health,California Pacific Medical Center Van Ness,Acute Care Settings,General acute care hospital,San Francisco,#N/A,94109
Sutter Health,California Pacific Medical Center Cesar Chavez,Acute Care Settings,General acute care hospital,San Francisco,#N/A,94110
Sutter Health,California Pacific Medical Center Duboce,Acute Care Settings,General acute care hospital,San Francisco,#N/A,94117
Sutter Health,Sutter Health Shared Laboratory,Ancillary Care,Clinical laboratory,Livermore,#N/A,94551
Sutter Health,Eden Medical Center,Acute Care Settings,General acute care hospital,Castro Valley,#N/A,94546
Sutter Health,Mills-Peninsula Medical Center,Acute Care Settings,General acute care hospital,Burlingame,#N/A,94010
Sutter Health,Novato Community Hospital,Acute Care Settings,General acute care hospital,Novato,#N/A,94945
Sutter Health,Sutter Delta Medical Center,Acute Care Settings,General acute care hospital,Antioch,#N/A,94509
Sutter Health,Sutter Lakeside Hospital,Acute Care Settings,General acute care hospital,Lakeport,#N/A,95453
Sutter Health,Sutter Maternity and Surgery Center of Santa Cruz,Acute Care Settings,General acute care hospital,Santa Cruz,#N/A,95065
Sutter Health,Sutter Santa Rosa Regional Hospital,Acute Care Settings,General acute care hospital,Santa Rosa,#N/A,95403
Sutter Health,Sutter Coast Hospital,Acute Care Settings,General acute care hospital,crescent city,#N/A,95531
Sutter Health,Memorial Medical Center,Acute Care Settings,General acute care hospital,Modesto,#N/A,95355
Sutter Health,Memorial Hospital Los Banos,Acute Care Settings,General acute care hospital,Los Banos,#N/A,93635
Sutter Health,Sutter Amador Hospital,Acute Care Settings,General acute care hospital,Jackson,#N/A,95642
Sutter Health,Sutter Auburn Faith Hospital,Acute Care Settings,General acute care hospital,Auburn,#N/A,95602
Sutter Health,Sutter Davis Hospital,Acute Care Settings,General acute care hospital,Davis,#N/A,95616
Sutter Health,"Sutter Medical Center, Sacramento",Acute Care Settings,General acute care hospital,Sacramento,#N/A,95616
Sutter Health,Sutter Center for Psychiatry,Acute Care Settings,Psychiatric hospital,Sacramento,#N/A,95826
Sutter Health,Sutter Roseville Medical Center,Acute Care Settings,General acute care hospital,Roseville,#N/A,95661
Sutter Health,Sutter Solano Medical Center,Acute Care Settings,General acute care hospital,Vallejo,#N/A,94589
Sutter Health,Sutter Tracy Community Hospital,Acute Care Settings,General acute care hospital,Tracy,#N/A,95376
Sutter Health,Sutter Surgical Hospital-North Valley,Acute Care Settings,General acute care hospital,Yuba City,#N/A,95991
Sutter Health,Sutter Health Plus,Plans,Other plan,Sacramento,#N/A,95833
Sutter Health,"Sutter Medical Group, A California Corporation",Ambulatory Care Settings,Medical group,Sacramento,#N/A,95833
Sutter Health,"Sutter North Medical Group, A Professional Corporation",Ambulatory Care Settings,Medical group,Yuba City,#N/A,95991
Sutter Health,"The Gould Medical Group, Inc.",Ambulatory Care Settings,Medical group,Modesto,#N/A,95355
Sutter Health,"Palo Alto Foundation Medical Group, Inc.",Ambulatory Care Settings,Medical group,Mountain View,#N/A,94040
Sutter Health,"Sutter East Bay Medical Group, Inc., a California professional corporation",Ambulatory Care Settings,Medical group,Lafayette,#N/A,94549
Sutter Health,Sutter Medical Group of the Redwoods,Ambulatory Care Settings,Medical group,Santa Rosa,#N/A,95403
Sutter Independent Physicians,none identified,Intermediaries,Other intermediary,Sacramento,#N/A,95815
Sutter-Yuba Behavioral Health,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",Yuba City,#N/A,95991
Swaroopa Bussa,none identified,Ambulatory Care Settings,Physician practice,San Jose,#N/A,95138
swati Panse MD inc,none identified,Ambulatory Care Settings,Physician practice,San Jacinto,#N/A,92583
Sweeney Medical Corp,none identified,Ambulatory Care Settings,Physician practice,Santa Barbara,#N/A,93101
Sweetwater Care,Evergreen Care Center LLC,Subacute Care Facility,Skilled nursing facility,Fresno,#N/A,93727
Sweetwater Care,Fowler Care Center LLC,Subacute Care Facility,Skilled nursing facility,Fowler,#N/A,93625
Sweetwater Care,Palms Care Center LLC,Subacute Care Facility,Skilled nursing facility,Chowchilla,#N/A,93610
Sweetwater Care,Rolling Hills Care Center LLC,Subacute Care Facility,Skilled nursing facility,Selma,#N/A,93662
Sweetwater Care,Valley View Care Center LLC,Subacute Care Facility,Skilled nursing facility,Delano,#N/A,93215
Sweetwater Care,Brookside Care Center LLC,Subacute Care Facility,Skilled nursing facility,Stockton,#N/A,95207
Sweetwater Care,Noble Care Center LLC,Subacute Care Facility,Skilled nursing facility,Stockton,#N/A,95204
Sweetwater Care,Rancho Seco Care Center LLC,Subacute Care Facility,Skilled nursing facility,Galt,#N/A,95632
Sweetwater Care,Vineyards at Fowler LLC,Subacute Care Facility,Skilled nursing facility,Fowler,#N/A,93625
Sweetwater Care,Almond View Care Center LLC,Subacute Care Facility,Skilled nursing facility,Williams,#N/A,95987
Sweetwater Care,Feather River Care Center LLC,Subacute Care Facility,Skilled nursing facility,Oroville,#N/A,95966
Sweetwater Care,Shasta View Care Center LLC,Subacute Care Facility,Skilled nursing facility,Red Bluff,#N/A,96080
Sweetwater Care,Gateway Care LLC,Subacute Care Facility,Skilled nursing facility,Visalia,#N/A,93277
Sweetwater Care,Grand Oaks Care LLC,Subacute Care Facility,Skilled nursing facility,tulare,#N/A,93274
Sweetwater Care,Orchards at Tulare LLC,Subacute Care Facility,Skilled nursing facility,tulare,#N/A,93274
Sweetwater Care,River Walk Care Center LLC,Subacute Care Facility,Skilled nursing facility,Porterville,#N/A,93257
Sweetwater Care,Vindra Inc.,Subacute Care Facility,Skilled nursing facility,Clear Lake,#N/A,95422
Sycamores,none identified,Community-Based Organizations,Other community-based service provider,Pasadena,#N/A,91124
"Sylvana Guidotti, MD, Inc.",none identified,Ambulatory Care Settings,Medical group,ventura,#N/A,93003-2829
